STATE,CNTYCD,STATEDESC,COUNTY,YEAR,POVERTY,POVERTYRATE,INCOME
0,0,US,United States,2013,"48,810,868",15.8,"52,250"
1,0,AL,Alabama,2013,"889,091",18.9,"42,882"
1,1,AL,Autauga County,2013,"7,397",13.5,"51,868"
1,3,AL,Baldwin County,2013,"27,429",14.2,"47,539"
1,5,AL,Barbour County,2013,"6,654",28.2,"30,981"
1,7,AL,Bibb County,2013,"4,689",23.1,"39,781"
1,9,AL,Blount County,2013,"9,878",17.2,"44,392"
1,11,AL,Bullock County,2013,"3,123",35.2,"25,937"
1,13,AL,Butler County,2013,"5,731",28.8,"31,041"
1,15,AL,Calhoun County,2013,"24,338",21.4,"37,898"
1,17,AL,Chambers County,2013,"7,578",22.5,"33,883"
1,19,AL,Cherokee County,2013,"5,199",20.1,"37,478"
1,21,AL,Chilton County,2013,"8,841",20.3,"41,348"
1,23,AL,Choctaw County,2013,"2,976",22.4,"33,581"
1,25,AL,Clarke County,2013,"6,318",25.4,"34,593"
1,27,AL,Clay County,2013,"2,590",19.6,"33,344"
1,29,AL,Cleburne County,2013,"2,787",18.9,"40,407"
1,31,AL,Coffee County,2013,"9,315",18.5,"44,666"
1,33,AL,Colbert County,2013,"8,794",16.3,"40,032"
1,35,AL,Conecuh County,2013,"3,900",30.5,"27,196"
1,37,AL,Coosa County,2013,"2,141",19.9,"35,175"
1,39,AL,Covington County,2013,"7,156",19.2,"35,187"
1,41,AL,Crenshaw County,2013,"3,069",22.2,"34,105"
1,43,AL,Cullman County,2013,"13,076",16.4,"40,142"
1,45,AL,Dale County,2013,"9,804",20.1,"41,805"
1,47,AL,Dallas County,2013,"12,975",31.3,"27,524"
1,49,AL,DeKalb County,2013,"14,044",20,"36,713"
1,51,AL,Elmore County,2013,"10,071",13.4,"51,650"
1,53,AL,Escambia County,2013,"9,615",27.8,"33,455"
1,55,AL,Etowah County,2013,"19,938",19.6,"38,587"
1,57,AL,Fayette County,2013,"3,440",20.7,"35,661"
1,59,AL,Franklin County,2013,"7,194",23.1,"33,332"
1,61,AL,Geneva County,2013,"6,224",23.6,"35,378"
1,63,AL,Greene County,2013,"3,040",35,"25,864"
1,65,AL,Hale County,2013,"3,877",25.7,"33,597"
1,67,AL,Henry County,2013,"3,102",18.2,"41,590"
1,69,AL,Houston County,2013,"18,527",18.1,"39,636"
1,71,AL,Jackson County,2013,"8,863",16.9,"37,204"
1,73,AL,Jefferson County,2013,"122,167",18.9,"45,024"
1,75,AL,Lamar County,2013,"3,221",23,"36,475"
1,77,AL,Lauderdale County,2013,"15,526",17.1,"43,586"
1,79,AL,Lawrence County,2013,"5,798",17.4,"40,713"
1,81,AL,Lee County,2013,"29,094",19.8,"44,647"
1,83,AL,Limestone County,2013,"13,621",15.9,"50,148"
1,85,AL,Lowndes County,2013,"3,919",37,"29,734"
1,87,AL,Macon County,2013,"6,084",33.8,"29,228"
1,89,AL,Madison County,2013,"47,136",13.9,"58,258"
1,91,AL,Marengo County,2013,"6,268",31.5,"33,749"
1,93,AL,Marion County,2013,"6,117",20.8,"34,162"
1,95,AL,Marshall County,2013,"16,870",18.1,"38,399"
1,97,AL,Mobile County,2013,"82,625",20.3,"42,278"
1,99,AL,Monroe County,2013,"6,519",29.7,"32,696"
1,101,AL,Montgomery County,2013,"48,080",22.1,"44,013"
1,103,AL,Morgan County,2013,"20,479",17.4,"44,079"
1,105,AL,Perry County,2013,"3,360",36.4,"25,461"
1,107,AL,Pickens County,2013,"4,490",23.8,"32,314"
1,109,AL,Pike County,2013,"7,969",25.3,"35,944"
1,111,AL,Randolph County,2013,"5,202",23.4,"35,121"
1,113,AL,Russell County,2013,"14,070",23.9,"35,762"
1,115,AL,St. Clair County,2013,"11,779",14,"52,437"
1,117,AL,Shelby County,2013,"16,664",8.3,"68,718"
1,119,AL,Sumter County,2013,"4,756",38,"24,504"
1,121,AL,Talladega County,2013,"15,399",19.8,"38,505"
1,123,AL,Tallapoosa County,2013,"9,025",22.2,"37,747"
1,125,AL,Tuscaloosa County,2013,"32,728",17.2,"45,959"
1,127,AL,Walker County,2013,"14,293",22,"37,193"
1,129,AL,Washington County,2013,"3,298",19.7,"41,115"
1,131,AL,Wilcox County,2013,"3,624",32.4,"23,184"
1,133,AL,Winston County,2013,"5,215",21.9,"33,578"
2,0,AK,Alaska,2013,"72,643",10.1,"70,058"
2,13,AK,Aleutians East Borough,2013,470,15.2,"56,856"
2,16,AK,Aleutians West Census Area,2013,426,8.1,"74,088"
2,20,AK,Anchorage Borough,2013,"22,753",7.7,"76,362"
2,50,AK,Bethel Census Area,2013,"4,384",25.1,"42,876"
2,60,AK,Bristol Bay Borough,2013,89,9.5,"65,283"
2,68,AK,Denali Borough,2013,100,5.4,"68,103"
2,70,AK,Dillingham Census Area,2013,"1,037",20.9,"47,930"
2,90,AK,Fairbanks North Star Borough,2013,"8,497",8.8,"67,204"
2,100,AK,Haines Borough,2013,295,11.4,"55,295"
2,105,AK,Hoonah-Angoon Census Area,2013,412,19.2,"42,276"
2,110,AK,Juneau Borough,2013,"2,394",7.5,"83,642"
2,122,AK,Kenai Peninsula Borough,2013,"5,623",10.1,"61,629"
2,130,AK,Ketchikan Gateway Borough,2013,"1,391",10.3,"62,619"
2,150,AK,Kodiak Island Borough,2013,"1,191",8.5,"64,782"
2,164,AK,Lake and Peninsula Borough,2013,284,17.3,"43,936"
2,170,AK,Matanuska-Susitna Borough,2013,"8,795",9.4,"72,371"
