STATE,CNTYCD,COUNTYNAME,COUNTY,STATEDESC,YEAR,FORCE,EMPLOYED,UNEMPLOYED,UNEMPLOYMENTRATE
1,1,"Autauga County, AL",Autauga County, AL,2013,25731,24126,1605,6.2
1,3,"Baldwin County, AL",Baldwin County, AL,2013,85018,79367,5651,6.6
1,5,"Barbour County, AL",Barbour County, AL,2013,9073,8142,931,10.3
1,7,"Bibb County, AL",Bibb County, AL,2013,8679,7990,689,7.9
1,9,"Blount County, AL",Blount County, AL,2013,24810,23249,1561,6.3
1,11,"Bullock County, AL",Bullock County, AL,2013,4765,4317,448,9.4
1,13,"Butler County, AL",Butler County, AL,2013,9120,8179,941,10.3
1,15,"Calhoun County, AL",Calhoun County, AL,2013,48245,44017,4228,8.8
1,17,"Chambers County, AL",Chambers County, AL,2013,15229,14012,1217,8
1,19,"Cherokee County, AL",Cherokee County, AL,2013,11368,10615,753,6.6
1,21,"Chilton County, AL",Chilton County, AL,2013,19300,18031,1269,6.6
1,23,"Choctaw County, AL",Choctaw County, AL,2013,4690,4256,434,9.3
1,25,"Clarke County, AL",Clarke County, AL,2013,8261,7121,1140,13.8
1,27,"Clay County, AL",Clay County, AL,2013,5378,4927,451,8.4
1,29,"Cleburne County, AL",Cleburne County, AL,2013,5813,5366,447,7.7
1,31,"Coffee County, AL",Coffee County, AL,2013,20452,19042,1410,6.9
1,33,"Colbert County, AL",Colbert County, AL,2013,23822,21865,1957,8.2
1,35,"Conecuh County, AL",Conecuh County, AL,2013,4682,4178,504,10.8
1,37,"Coosa County, AL",Coosa County, AL,2013,4438,4031,407,9.2
1,39,"Covington County, AL",Covington County, AL,2013,16014,14719,1295,8.1
1,41,"Crenshaw County, AL",Crenshaw County, AL,2013,6288,5809,479,7.6
1,43,"Cullman County, AL",Cullman County, AL,2013,35663,33293,2370,6.6
1,45,"Dale County, AL",Dale County, AL,2013,20688,19157,1531,7.4
1,47,"Dallas County, AL",Dallas County, AL,2013,16247,14254,1993,12.3
1,49,"DeKalb County, AL",DeKalb County, AL,2013,28946,26736,2210,7.6
1,51,"Elmore County, AL",Elmore County, AL,2013,36816,34544,2272,6.2
1,53,"Escambia County, AL",Escambia County, AL,2013,14248,13021,1227,8.6
1,55,"Etowah County, AL",Etowah County, AL,2013,43729,40405,3324,7.6
1,57,"Fayette County, AL",Fayette County, AL,2013,6386,5855,531,8.3
1,59,"Franklin County, AL",Franklin County, AL,2013,13639,12537,1102,8.1
1,61,"Geneva County, AL",Geneva County, AL,2013,11011,10243,768,7
